sentence	label
but it could have been worse .	0
there is no pleasure in watching a child suffer .	0
it all adds up to good fun .	1
i just loved every minute of this film .	1
do not see this film .	0
it treats women like idiots .	0
the performances take the movie to a higher level .	1
my thoughts were focused on the characters . 	1
no way i can believe this load of junk . 	0
just one bad idea after another . 	0
makes for a pretty unpleasant viewing experience . 	0
just embarrassment and a vague sense of shame . 	0
too much of the humor falls flat . 	0
a wildly inconsistent emotional experience . 	0
a deep and meaningful film . 	1
this is so bad .	0
why make a documentary about these marginal historical figures ?	0
falls neatly into the category of good stupid fun .	1
rarely has so much money delivered so little entertainment .	0
dense with characters and contains some thrilling moments .	1
